artista,pais_de_origen,area_de_origen,fecha_nacimiento,fecha_inicio_actividad,fecha_fin_actividad
Moderat,Germany,Berlin,NULL,2002,Actualidad
Micro TDH,Venezuela,Mérida,1999-04-14,NULL,Actualidad
Ray Charles,United States,Albany,1930-09-23,NULL,2004-06-10
Lori Meyers,Spain,Granada,NULL,1998,Actualidad
Portugal. The Man,United States,Wasilla,NULL,2004,Actualidad
Whiskey Myers,United States,Palestine,NULL,2005-04,Actualidad
Totally Enormous Extinct Dinosaurs,United Kingdom,London,1986-03-07,NULL,Actualidad
MJ Lenderman,Asheville,NULL,NULL,NULL,Actualidad
The Red Pears,El Monte,NULL,NULL,NULL,Actualidad
Delta Sleep,United Kingdom,NULL,NULL,2010-01,Actualidad
Guitarricadelafuente,Spain,Spain,1997-08-27,NULL,Actualidad
Modeselektor,Germany,Berlin,NULL,1996,Actualidad
Maluma,Colombia,Medellín,1994-01-28,NULL,Actualidad
Depresión Sonora,Madrid,NULL,NULL,NULL,Actualidad
Papa Roach,United States,Vacaville,NULL,1993,Actualidad
Death Cab for Cutie,United States,Bellingham,NULL,1997,Actualidad
Mikel Erentxun,Spain,Caracas,1965-02-23,NULL,Actualidad
Rvssian,Jamaica,Kingston,1990-04-12,NULL,Actualidad
The Offspring,United States,Huntington Beach,NULL,1984,Actualidad
The Black Keys,United States,Akron,NULL,2001,Actualidad
Sergio Dalma,Spain,Sabadell,1964-09-28,NULL,Actualidad
DIA,South Korea,Seoul,NULL,2015-09-12,Actualidad
Momma,United States,Calabasas,NULL,2015,Actualidad
Faithless,United Kingdom,London,NULL,1995,Actualidad
Anuel AA,Puerto Rico,Carolina,1992-11-27,NULL,Actualidad
We Are Messengers,United States,Monaghan,NULL,2015,Actualidad
Rosalie Sorrels,United States,Boise,1933-06-24,NULL,2017-06-11
MARETU,Japan,NULL,NULL,NULL,Actualidad
Rojo,Mexico,Hermosillo,NULL,1999,Actualidad
Jason Aldean,United States,Macon,1977-02-28,NULL,Actualidad
Metallica,United States,Los Angeles,NULL,1981-10-28,Actualidad
The Who,United Kingdom,London,NULL,1964-02,Actualidad
FLOW,Japan,NULL,NULL,1998,Actualidad
Roa,South Korea,Gyeongju,2002-06-19,NULL,Actualidad
Heitor Pereira,Brazil,Rio Grande,1957-11-29,NULL,Actualidad
J. K. Rowling,United Kingdom,Yate,1965-07-31,NULL,Actualidad
Wisin,Puerto Rico,Cayey,1979-12-19,NULL,Actualidad
Federico Mompou,Spain,Barcelona,1893-04-16,NULL,1987-06-30
Guaynaa,Puerto Rico,Caguas,1992-09-16,NULL,Actualidad
Kase.O,Spain,Zaragoza,1980-03-01,NULL,Actualidad
Jasmon,NULL,NULL,NULL,NULL,Actualidad
The Killers,United States,Las Vegas,NULL,2001,Actualidad
Brent Cobb,United States,Ellaville,1986-08-01,NULL,Actualidad
Thom Yorke,Oxford,Wellingborough,1968-10-07,NULL,Actualidad
Hercules,Athens,NULL,NULL,NULL,Actualidad
